experiment, filename , dur , f0mnhz , f0mdhz , f0sdhz , f0mihz , f0mahz , f0rghz , f0mnvst , f0mdvst , f0sdvst , f0mivst , f0mavst , f0rgvst, inmn , inmd , inrange , jitloc , jitrap , jitppq5 , periodsd , shimloc , shimapq11 , shimapq3 , h1mh2mn , slopen0114 , slopen5228 , mnHNR , mnNHR, jitlocvr , jitrapvr , shimlocvr , shimapq3vr 
F0-Intensity,F_5_1_con_High_Quie,1.909,260.1,257.5,32.9,207.6,331.6,124,96.14,96.1,2.15,12.65,20.72,8.07,62,61,30.5,0.00632,0.00122,0.00264,0.0005,0.10554,0.1262,0.03922,6.13,-14.1,-21.9,17.7,0.0681,0.00632,0.00122,0.10554,0.03922
F0-Intensity,F_5_1_con_Low_Loud,1.909,187.5,186.3,23.5,150.1,235,84.9,90.48,90.5,2.13,7.04,14.79,7.75,69,68.1,29.7,0.00961,0.00248,0.00494,0.0007,0.10397,0.10614,0.03151,4.28,-14.6,-20.6,16.2,0.0957,0.00961,0.00248,0.10397,0.03151
F0-Intensity,F_5_1_con_Low_Neut,1.909,187.5,186.3,23.5,150.1,235,84.9,90.48,90.5,2.13,7.04,14.79,7.75,66,65.1,29.7,0.00959,0.00249,0.00495,0.0007,0.10465,0.10475,0.03229,4.29,-14.6,-20.6,16.2,0.0957,0.00959,0.00249,0.10465,0.03229
F0-Intensity,F_5_1_con_Low_Quie,1.909,187.5,186.3,23.5,150.1,235,84.9,90.48,90.5,2.13,7.04,14.79,7.75,62,61.1,29.7,0.00959,0.00249,0.00495,0.0007,0.10467,0.10476,0.0323,4.29,-14.6,-20.6,16.2,0.0957,0.00959,0.00249,0.10467,0.0323
F0-Intensity,F_5_1_con_Mid_Loud,1.909,223.6,222.1,28,178.6,281.3,102.7,93.52,93.54,2.13,10.04,17.9,7.86,69,68,31.1,0.00682,0.0013,0.00261,0.0006,0.0815,0.09876,0.02276,6.07,-15,-22.9,17.6,0.0753,0.00682,0.0013,0.0815,0.02276
F0-Intensity,F_5_1_con_Mid_Neut,1.909,223.7,222.2,28.1,178.4,281.2,102.8,93.53,93.54,2.14,10.03,17.9,7.86,66,65,31.1,0.00809,0.00184,0.00389,0.0006,0.08852,0.08336,0.02944,6.07,-15,-22.8,17.5,0.0841,0.00809,0.00184,0.08852,0.02944
F0-Intensity,F_5_1_con_Mid_Quie,1.909,223.7,222.2,28.1,178.4,281,102.6,93.53,93.54,2.14,10.03,17.89,7.85,62,61,31.1,0.00813,0.00186,0.00392,0.0006,0.0882,0.08265,0.02966,6.09,-15,-22.8,17.5,0.0839,0.00813,0.00186,0.0882,0.02966
F0-Intensity,F_5_2_con_High_Loud,1.994,261.5,256.3,36.7,213,327.1,114.1,96.2,96.02,2.4,13.09,20.51,7.42,69,68.7,30.4,0.00517,0.00121,0.00237,0.0005,0.06491,0.06743,0.02009,4.82,-14.1,-15.5,18.9,0.0676,0.00517,0.00121,0.06491,0.02009
F0-Intensity,F_5_2_con_High_Neut,1.994,261.5,256.3,36.7,213,327.1,114.1,96.2,96.02,2.4,13.09,20.51,7.42,66,65.7,30.4,0.00517,0.00121,0.00237,0.0005,0.06492,0.06744,0.02009,4.82,-14.1,-15.5,18.9,0.0676,0.00517,0.00121,0.06492,0.02009
F0-Intensity,F_5_2_con_High_Quie,1.994,261.5,256.3,36.7,213,327.1,114.1,96.2,96.02,2.4,13.09,20.51,7.42,62,61.7,30.4,0.00515,0.0012,0.00235,0.0005,0.06614,0.06773,0.02017,4.75,-14.1,-15.5,18.9,0.0675,0.00515,0.0012,0.06614,0.02017
F0-Intensity,F_5_2_con_Low_Loud,1.994,190.1,190.6,26.8,154,236.7,82.8,90.67,90.9,2.42,7.47,14.92,7.44,69,68.8,30.1,0.00664,0.00175,0.00332,0.0007,0.07713,0.0916,0.02393,2.61,-13.6,-14.7,17.4,0.0857,0.00664,0.00175,0.07713,0.02393
F0-Intensity,F_5_2_con_Low_Neut,1.994,190.1,190.6,26.8,154,236.7,82.8,90.67,90.9,2.42,7.47,14.92,7.44,66,65.8,30.1,0.00664,0.00175,0.00332,0.0007,0.07712,0.09159,0.02393,2.61,-13.6,-14.7,17.4,0.0857,0.00664,0.00175,0.07712,0.02393
F0-Intensity,F_5_2_con_Low_Quie,1.994,190.1,190.6,26.8,154,236.7,82.8,90.67,90.9,2.42,7.47,14.92,7.44,62,61.8,30.1,0.00664,0.00175,0.00332,0.0007,0.07713,0.0916,0.02392,2.61,-13.6,-14.7,17.4,0.0857,0.00664,0.00175,0.07713,0.02392
F0-Intensity,F_5_2_con_Mid_Loud,1.994,226.3,226.4,32,183.1,291.3,108.2,93.7,93.88,2.43,10.48,18.48,8,69,68.8,30.7,0.00651,0.00169,0.00338,0.0006,0.07897,0.08432,0.02529,3.77,-14.3,-15.9,18.5,0.0688,0.00651,0.00169,0.07897,0.02529
F0-Intensity,F_5_2_con_Mid_Neut,1.994,226.3,226.5,32,183.1,291.3,108.2,93.7,93.88,2.43,10.48,18.48,8,66,65.8,30.7,0.00651,0.00169,0.00338,0.0006,0.07897,0.08379,0.02544,3.76,-14.3,-15.9,18.5,0.0689,0.00651,0.00169,0.07897,0.02544
F0-Intensity,F_5_2_con_Mid_Quie,1.994,226.3,226.5,32,183.1,291.2,108.1,93.7,93.88,2.43,10.48,18.47,8,62,61.8,30.7,0.00651,0.00169,0.00337,0.0006,0.07899,0.08377,0.02547,3.75,-14.3,-15.9,18.5,0.0689,0.00651,0.00169,0.07899,0.02547
F0-Intensity,F_5_3_con_High_Loud,2.659,262.3,257.5,39.1,205.8,339,133.2,96.23,96.1,2.54,12.5,21.13,8.63,69,68.3,26.9,0.0042,0.00097,0.00179,0.0006,0.08659,0.07946,0.03733,3.14,-13.3,-19.6,18.7,0.0616,0.0042,0.00097,0.08659,0.03733
F0-Intensity,F_5_3_con_High_Neut,2.659,262.3,257.5,39.1,205.8,339,133.2,96.23,96.1,2.54,12.5,21.13,8.63,66,65.3,26.9,0.0042,0.00096,0.00179,0.0006,0.0864,0.07933,0.0372,3.12,-13.3,-19.6,18.7,0.0615,0.0042,0.00096,0.0864,0.0372
F0-Intensity,F_5_3_con_High_Quie,2.659,262.3,257.5,39.1,205.8,339,133.2,96.23,96.1,2.54,12.5,21.13,8.63,62,61.3,26.9,0.00418,0.00096,0.00179,0.0006,0.08411,0.0774,0.03502,3.15,-13.3,-19.6,18.7,0.0615,0.00418,0.00096,0.08411,0.03502
F0-Intensity,F_5_3_con_Low_Loud,2.659,190,186.3,28.4,149,245.7,96.7,90.65,90.5,2.55,6.91,15.56,8.65,69,68.4,26.1,0.00572,0.0014,0.00263,0.0008,0.11103,0.09697,0.0471,4.51,-14.6,-19.4,17.2,0.062,0.00572,0.0014,0.11103,0.0471
F0-Intensity,F_5_3_con_Low_Neut,2.659,190,186.3,28.4,149.1,245.7,96.6,90.65,90.5,2.55,6.91,15.56,8.64,66,65.4,26.1,0.00614,0.0014,0.0029,0.0008,0.1172,0.12238,0.05006,3.98,-14.6,-19.4,17.2,0.0689,0.00614,0.0014,0.1172,0.05006
F0-Intensity,F_5_3_con_Low_Quie,2.659,190,186.3,28.4,149,245.7,96.7,90.65,90.5,2.55,6.91,15.56,8.65,62,61.4,26.1,0.00573,0.0014,0.00264,0.0008,0.111,0.0974,0.04749,4.51,-14.6,-19.4,17.2,0.062,0.00573,0.0014,0.111,0.04749
F0-Intensity,F_5_3_con_Mid_Loud,2.659,226,222,33.8,177.7,291.9,114.3,93.65,93.53,2.55,9.95,18.55,8.6,69,68.4,26.1,0.00584,0.00153,0.00279,0.0007,0.06718,0.06378,0.02704,4.58,-14.9,-18.8,17.7,0.0709,0.00584,0.00153,0.06718,0.02704
F0-Intensity,F_5_3_con_Mid_Neut,2.659,226,222,33.8,177.7,291.9,114.3,93.65,93.53,2.55,9.95,18.55,8.6,66,65.4,26.1,0.00584,0.00153,0.00278,0.0007,0.067,0.06357,0.02681,4.55,-14.9,-18.8,17.7,0.071,0.00584,0.00153,0.067,0.02681
F0-Intensity,F_5_3_con_Mid_Quie,2.659,226,222,33.8,177.7,291.9,114.3,93.65,93.53,2.54,9.95,18.55,8.6,62,61.4,26.1,0.00585,0.00154,0.00279,0.0007,0.06718,0.06395,0.02695,4.57,-14.9,-18.8,17.7,0.071,0.00585,0.00154,0.06718,0.02695
